"동별(1)",동별(2),2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
"동별(1)",동별(2),총가구,총가구,총가구,총가구,일반가구,일반가구,일반가구,일반가구,집단가구,집단가구,집단가구,집단가구,집단가구,집단가구,집단가구,집단가구,외국인가구,외국인가구,외국인가구,외국인가구,총가구,총가구,총가구,총가구,일반가구,일반가구,일반가구,일반가구,집단가구,집단가구,집단가구,집단가구,집단가구,집단가구,집단가구,집단가구,외국인가구,외국인가구,외국인가구,외국인가구
"동별(1)",동별(2),소계,소계,소계,소계,소계,소계,소계,소계,비친족 6인이상 가구,비친족 6인이상 가구,비친족 6인이상 가구,비친족 6인이상 가구,집단시설가구,집단시설가구,집단시설가구,집단시설가구,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,비친족 6인이상 가구,비친족 6인이상 가구,비친족 6인이상 가구,비친족 6인이상 가구,집단시설가구,집단시설가구,집단시설가구,집단시설가구,소계,소계,소계,소계
"동별(1)",동별(2),가구수 (가구),가구원수 (명),가구원수 (명),가구원수 (명),가구수 (가구),가구원수 (명),가구원수 (명),가구원수 (명),가구수 (가구),가구원수 (명),가구원수 (명),가구원수 (명),가구수 (가구),가구원수 (명),가구원수 (명),가구원수 (명),가구수 (가구),가구원수 (명),가구원수 (명),가구원수 (명),가구수 (가구),가구원수 (명),가구원수 (명),가구원수 (명),가구수 (가구),가구원수 (명),가구원수 (명),가구원수 (명),가구수 (가구),가구원수 (명),가구원수 (명),가구원수 (명),가구수 (가구),가구원수 (명),가구원수 (명),가구원수 (명),가구수 (가구),가구원수 (명),가구원수 (명),가구원수 (명)
"동별(1)",동별(2),소계,소계,남자,여자,소계,소계,남자,여자,소계,소계,남자,여자,소계,소계,남자,여자,소계,소계,남자,여자,소계,소계,남자,여자,소계,소계,남자,여자,소계,소계,남자,여자,소계,소계,남자,여자,소계,소계,남자,여자
"합계",마포구,173258,361380,167854,193526,167410,344866,160138,184728,70,584,287,297,22,3400,1386,2014,5756,8310,3009,5301,173531,358927,166191,192736,167967,342854,158711,184143,71,644,332,312,23,3512,1334,2178,5470,7779,2814,4965
"합계",양천구,171469,422248,205753,216495,169479,413952,200490,213462,26,244,157,87,23,1107,352,755,1941,3215,1501,1714,171027,417397,203140,214257,169044,409162,197945,211217,27,243,136,107,22,1049,319,730,1934,3201,1462,1739
"합계",강서구,258700,549557,262646,286911,255617,537347,255359,281988,49,404,206,198,52,2233,815,1418,2982,5090,2420,2670,259211,543974,259852,284122,256036,531642,252555,279087,44,380,215,165,53,2405,970,1435,3078,5185,2368,2817
"합계",구로구,190000,423397,210034,213363,171257,378092,184267,193825,57,440,250,190,40,3416,1358,2058,18646,37076,20624,16452,190182,418832,207187,211645,171388,373696,181825,191871,46,392,225,167,42,3421,1329,2092,18706,36991,20316,16675
"합계",금천구,123220,245860,124278,121582,111789,219602,109532,110070,33,363,220,143,25,1345,460,885,11373,21969,12075,9894,124012,243662,122912,120750,112676,217367,108343,109024,35,312,195,117,31,1349,475,874,11270,22098,11935,10163
"합계",영등포구,190452,400544,197696,202848,174908,355332,172607,182725,75,751,427,324,31,2057,949,1108,15438,38001,20171,17830,192656,400799,197205,203594,176587,354493,171830,182663,85,841,455,386,39,3150,1488,1662,15945,38010,19959,18051
"합계",동작구,181307,384089,185348,198741,173897,361991,174125,187866,100,994,462,532,21,4888,2289,2599,7289,11852,5296,6556,181275,381172,183544,197628,173615,357863,171834,186029,112,1155,523,632,32,5825,2774,3051,7516,11956,5188,6768
"합계",관악구,275312,493677,246553,247124,263166,461910,230653,231257,155,1732,934,798,20,6175,3094,3081,11971,18523,7991,10532,277394,490493,244885,245608,264148,457257,228585,228672,156,1661,869,792,22,6464,3199,3265,13068,19947,8486,11461
"합계",서초구,159582,385267,183751,201516,157290,375801,178355,197446,36,332,169,163,23,2077,611,1466,2233,3548,1640,1908,160651,386254,183900,202354,158384,376382,178320,198062,36,362,191,171,28,2470,764,1706,2203,3470,1608,1862
"합계",강남구,222421,511084,244560,266524,218895,499355,237607,261748,51,468,232,236,25,1823,613,1210,3450,4624,2092,2532,229978,528194,252802,275392,226333,515938,245582,270356,49,463,225,238,28,1896,578,1318,3568,4864,2200,2664
"합계",송파구,269591,630744,303004,327740,265857,616529,294130,322399,42,353,228,125,30,2799,1300,1499,3662,5998,2902,3096,271703,628648,301344,327304,267817,613895,292349,321546,43,412,234,178,31,3065,1326,1739,3812,6189,3001,3188
"합계",강동구,192312,446561,217965,228596,189599,436034,211373,224661,29,232,120,112,26,2387,1197,1190,2658,4395,2252,2143,197160,454023,221136,232887,194369,443286,214560,228726,31,287,168,119,33,2325,1073,1252,2727,4535,2252,2283
